,Value,Std. Error,t value,p value,Odds ratio,2.5%,97.5%
RegionSoutheast,2.47,1.06,2.33,0.02,11.83,1.66,120.01
Age,-0.18,0.08,-2.07,0.04,0.84,0.69,0.96
area_typeSuburban,-3.34,1.65,-2.03,0.04,0.04,0,0.6
area_typeUrban,-1.03,1.53,-0.67,0.5,0.36,0.01,7.82
GenderMale,-2.09,1.38,-1.51,0.13,0.12,0.01,1.75
EthnicityWhite,1.25,0.94,1.32,0.19,3.47,0.57,24.7
EducationNo degree,-0.47,1.22,-0.39,0.7,0.63,0.05,6.92
I rarely drop the 'g' on -ing ending words|I sometimes drop the 'g' on -ing ending words,-6.28,3.44,-1.83,0.07,11.83,,
I sometimes drop the 'g' on -ing ending words|I often drop the 'g' on -ing ending words,-4.21,3.3,-1.27,0.2,0.84,,
